date,AQI
1394/05/31,98
1394/06/01,114
1394/06/02,99
1394/06/03,99
1394/06/04,111
1394/06/05,93
1394/06/06,86
1394/06/07,80
1394/06/08,80
1394/06/09,79
1394/06/10,252
1394/06/11,93
1394/06/12,84
1394/06/13,85
1394/06/14,77
1394/06/15,83
1394/06/16,70
1394/06/17,95
1394/06/18,89
1394/06/19,83
1394/06/20,83
1394/06/21,84
1394/06/22,76
1394/06/23,65
1394/06/24,79
1394/06/25,84
1394/06/26,75
1394/06/27,74
1394/06/28,58
1394/06/29,65
1394/06/30,93
1394/06/31,99
1394/07/01,101
1394/07/02,90
1394/07/03,68
1394/07/04,66
1394/07/05,71
1394/07/06,66
1394/07/07,73
1394/07/08,70
1394/07/09,91
1394/07/10,84
1394/07/11,81
1394/07/12,95
1394/07/13,91
1394/07/14,85
1394/07/15,97
1394/07/16,107
1394/07/17,111
1394/07/18,72
1394/07/19,71
1394/07/20,78
1394/07/21,84
1394/07/22,94
1394/07/23,85
1394/07/24,66
1394/07/25,87
1394/07/26,59
1394/07/27,95
1394/07/28,114
1394/07/29,84
1394/07/30,81
1394/08/01,80
1394/08/02,78
1394/08/03,75
1394/08/04,116
1394/08/05,109
1394/08/06,75
1394/08/07,80
1394/08/08,74
1394/08/09,76
1394/08/10,61
1394/08/11,54
1394/08/12,52
1394/08/13,95
1394/08/14,125
1394/08/15,132
1394/08/16,146
1394/08/17,118
1394/08/18,109
1394/08/19,56
1394/08/20,49
1394/08/21,34
1394/08/22,59
1394/08/23,77
1394/08/24,64
1394/08/25,88
1394/08/26,111
1394/08/27,126
1394/08/28,77
1394/08/29,55
1394/08/30,62
1394/09/01,98
1394/09/02,130
1394/09/03,130
1394/09/04,124
1394/09/05,125
1394/09/06,134
1394/09/07,107
1394/09/08,126
1394/09/09,105
1394/09/10,82
1394/09/11,67
1394/09/12,41
1394/09/13,77
1394/09/14,42
1394/09/15,79
1394/09/16,73
1394/09/17,81
1394/09/18,138
1394/09/19,125
1394/09/20,98
1394/09/21,103
1394/09/22,143
1394/09/23,162
1394/09/24,143
1394/09/25,110
1394/09/26,125
1394/09/27,148
1394/09/28,142
1394/09/29,141
1394/09/30,134
1394/10/01,124
1394/10/02,139
1394/10/03,144
1394/10/04,132
1394/10/05,132
1394/10/06,137
1394/10/07,133
1394/10/08,157
1394/10/09,160
1394/10/10,113
1394/10/11,96
1394/10/12,58
1394/10/13,44
1394/10/14,43
1394/10/15,87
1394/10/16,71
1394/10/17,68
1394/10/18,107
1394/10/19,100
1394/10/20,53
1394/10/21,70
1394/10/22,110
1394/10/23,149
1394/10/24,127
1394/10/25,130
1394/10/26,119
1394/10/27,102
1394/10/28,118
1394/10/29,108
1394/10/30,114
1394/11/01,106
1394/11/02,95
1394/11/03,86
1394/11/04,45
1394/11/05,70
1394/11/06,40
1394/11/07,48
1394/11/08,56
1394/11/09,56
1394/11/10,83
1394/11/11,118
1394/11/12,97
1394/11/13,101
1394/11/14,106
1394/11/15,69
1394/11/16,105
1394/11/17,131
1394/11/18,144
1394/11/19,67
1394/11/20,59
1394/11/21,68
1394/11/22,76
1394/11/23,91
1394/11/24,120
1394/11/25,135
1394/11/26,127
1394/11/27,119
1394/11/28,79
1394/11/29,77
1394/11/30,99
1394/12/01,74
1394/12/02,89
1394/12/03,131
1394/12/04,111
1394/12/05,88
1394/12/06,54
1394/12/07,81
1394/12/08,101
1394/12/09,82
1394/12/10,79
1394/12/11,66
1394/12/12,83
1394/12/13,94
1394/12/14,100
